Arduino to MATLAB PPM Reader; by Gabriel Staples; 3 April 2014
Note: all of the channel PPM values read in by the Arduino are one or more loop iterations old; ex (if we are only preloading the serial buffer with ONE data packet): the PPM values that the Arduino is grabbing this loop will not be read into MATLAB until the next loop; and the PPM values being recorded this loop are the values the Arduino grabbed during the previous loop.

1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,
packet_num(-), Arduino time stamp--t(ms), PPM_gap, PPM_pd(us),PPM_freq(Hz), t_since_interrupt(ms), Tx_on(-),Bytes_avail_in_MATLAB_serial_buffer, Bad_packet_cnt,Ch1(us), Ch2(us), Ch3(us), Ch4(us), Ch5(us), Ch6(us), Ch7(us), Ch8(us)
1.0000,20.0000,0.0000,0.0000,4294967295.0000,8.0000,1.0000,42.0000,0.0000,1365.0000,1506.0000,1505.0000,1006.0000,0.0000,0.0000,0.0000,0.0000
2.0000,65.0000,11004.0000,22556.0000,44.0000,8.0000,1.0000,42.0000,0.0000,1505.0000,1506.0000,1005.0000,1505.0000,1506.0000,1505.0000,1505.0000,1506.0000
3.0000,303.0000,11006.0000,22556.0000,44.0000,1.0000,1.0000,42.0000,0.0000,1503.0000,1506.0000,1005.0000,1506.0000,1505.0000,1506.0000,1506.0000,1509.0000
4.0000,745.0000,11003.0000,22550.0000,44.0000,1.0000,1.0000,42.0000,0.0000,1506.0000,1506.0000,1005.0000,1505.0000,1506.0000,1505.0000,1505.0000,1506.0000
5.0000,1325.0000,11004.0000,22550.0000,44.0000,6.0000,1.0000,42.0000,0.0000,1505.0000,1507.0000,1005.0000,1506.0000,1505.0000,1506.0000,1505.0000,1506.0000
6.0000,1966.0000,11004.0000,22552.0000,44.0000,0.0000,1.0000,42.0000,0.0000,1506.0000,1505.0000,1006.0000,1505.0000,1506.0000,1505.0000,1506.0000,1506.0000
7.0000,2703.0000,11004.0000,22549.0000,44.0000,7.0000,1.0000,42.0000,0.0000,1505.0000,1505.0000,1006.0000,1505.0000,1506.0000,1505.0000,1506.0000,1506.0000
8.0000,3444.0000,11004.0000,22550.0000,44.0000,5.0000,1.0000,42.0000,0.0000,1505.0000,1506.0000,1006.0000,1505.0000,1506.0000,1506.0000,1506.0000,1505.0000
9.0000,4171.0000,11003.0000,22550.0000,44.0000,10.0000,1.0000,0.0000,0.0000,1505.0000,1506.0000,1005.0000,1506.0000,1506.0000,1506.0000,1506.0000,1506.0000
10.0000,4678.0000,11003.0000,22550.0000,44.0000,1.0000,1.0000,0.0000,0.0000,1507.0000,1505.0000,1006.0000,1505.0000,1509.0000,1503.0000,1505.0000,1506.0000
11.0000,5180.0000,11003.0000,22549.0000,44.0000,4.0000,1.0000,0.0000,0.0000,1505.0000,1506.0000,1008.0000,1507.0000,1507.0000,1504.0000,1505.0000,1505.0000
12.0000,5683.0000,11004.0000,22551.0000,44.0000,11.0000,1.0000,0.0000,0.0000,1505.0000,1506.0000,1006.0000,1505.0000,1506.0000,1506.0000,1505.0000,1506.0000
13.0000,6184.0000,11004.0000,22550.0000,44.0000,1.0000,1.0000,0.0000,0.0000,1506.0000,1505.0000,1005.0000,1507.0000,1506.0000,1505.0000,1505.0000,1505.0000
14.0000,6711.0000,11004.0000,22552.0000,44.0000,1.0000,1.0000,0.0000,0.0000,1505.0000,1505.0000,1006.0000,1505.0000,1505.0000,1506.0000,1506.0000,1510.0000
15.0000,7216.0000,11004.0000,22550.0000,44.0000,11.0000,1.0000,0.0000,0.0000,1505.0000,1506.0000,1005.0000,1507.0000,1505.0000,1506.0000,1505.0000,1506.0000
16.0000,7709.0000,11003.0000,22551.0000,44.0000,7.0000,1.0000,0.0000,0.0000,1506.0000,1506.0000,1006.0000,1505.0000,1506.0000,1507.0000,1504.0000,1506.0000
17.0000,8283.0000,11003.0000,22552.0000,44.0000,1.0000,1.0000,0.0000,0.0000,1507.0000,1505.0000,1007.0000,1505.0000,1506.0000,1505.0000,1506.0000,1506.0000
18.0000,8843.0000,11004.0000,22550.0000,44.0000,1.0000,1.0000,0.0000,0.0000,1506.0000,1506.0000,1006.0000,1505.0000,1506.0000,1505.0000,1508.0000,1503.0000
19.0000,9372.0000,11003.0000,22550.0000,44.0000,2.0000,1.0000,0.0000,0.0000,1505.0000,1506.0000,1005.0000,1506.0000,1505.0000,1506.0000,1506.0000,1506.0000
20.0000,9887.0000,11001.0000,22550.0000,44.0000,1.0000,1.0000,42.0000,0.0000,1506.0000,1505.0000,1006.0000,1505.0000,1505.0000,1506.0000,1505.0000,1509.0000
21.0000,10359.0000,11005.0000,22552.0000,44.0000,1.0000,1.0000,0.0000,0.0000,1505.0000,1505.0000,1006.0000,1506.0000,1512.0000,1506.0000,1506.0000,1506.0000
22.0000,10897.0000,11004.0000,22550.0000,44.0000,0.0000,1.0000,0.0000,0.0000,1506.0000,1505.0000,1006.0000,1505.0000,1506.0000,1505.0000,1506.0000,1506.0000
23.0000,11388.0000,11005.0000,22549.0000,44.0000,11.0000,1.0000,0.0000,0.0000,1506.0000,1506.0000,1006.0000,1505.0000,1506.0000,1506.0000,1506.0000,1506.0000
24.0000,11895.0000,11002.0000,22553.0000,44.0000,0.0000,1.0000,0.0000,0.0000,1507.0000,1505.0000,1006.0000,1506.0000,1506.0000,1505.0000,1507.0000,1507.0000
25.0000,12404.0000,11003.0000,22555.0000,44.0000,1.0000,1.0000,0.0000,0.0000,1507.0000,1508.0000,1002.0000,1510.0000,1506.0000,1505.0000,1506.0000,1505.0000
26.0000,12929.0000,11004.0000,22552.0000,44.0000,1.0000,1.0000,0.0000,0.0000,1505.0000,1506.0000,1005.0000,1506.0000,1506.0000,1506.0000,1506.0000,1506.0000
27.0000,13447.0000,11003.0000,22551.0000,44.0000,0.0000,1.0000,0.0000,0.0000,1505.0000,1505.0000,1006.0000,1505.0000,1506.0000,1506.0000,1506.0000,1507.0000
28.0000,13961.0000,11004.0000,22547.0000,44.0000,0.0000,1.0000,0.0000,0.0000,1506.0000,1505.0000,1006.0000,1505.0000,1506.0000,1505.0000,1507.0000,1505.0000
29.0000,14507.0000,11004.0000,22549.0000,44.0000,3.0000,1.0000,0.0000,0.0000,1505.0000,1506.0000,1005.0000,1506.0000,1505.0000,1506.0000,1505.0000,1505.0000
30.0000,15023.0000,11003.0000,22552.0000,44.0000,2.0000,1.0000,0.0000,0.0000,1506.0000,1506.0000,1006.0000,1505.0000,1507.0000,1505.0000,1506.0000,1505.0000
31.0000,15511.0000,11004.0000,22551.0000,44.0000,6.0000,1.0000,0.0000,0.0000,1506.0000,1505.0000,1006.0000,1506.0000,1505.0000,1506.0000,1505.0000,1505.0000
32.0000,16026.0000,11004.0000,22551.0000,44.0000,3.0000,1.0000,0.0000,0.0000,1506.0000,1505.0000,1006.0000,1505.0000,1506.0000,1505.0000,1506.0000,1505.0000
33.0000,16538.0000,11003.0000,22549.0000,44.0000,1.0000,1.0000,0.0000,0.0000,1506.0000,1505.0000,1006.0000,1506.0000,1504.0000,1505.0000,1506.0000,1505.0000
